Hole,1,2,3,4,5,6,7,8,9,Out,10,11,12,13,14,15,16,17,18,In,Round,player_id
R2,6,4,4,4,6,3,3,4,4,38,3,4,4,4,5,4,2,3,4,33,71,1334620
R3,5,4,4,3,5,4,3,5,4,37,3,4,4,4,5,4,2,4,3,33,70,1334620
R4,4,5,4,3,5,4,3,4,4,36,4,4,4,4,4,3,3,3,5,34,70,1334620
R1,3,4,3,2,4,3,4,5,4,32,3,5,4,5,4,4,3,4,5,37,69,1342631
R2,5,4,3,3,4,3,3,4,4,33,3,5,5,4,5,4,3,3,4,36,69,1342631
R3,5,3,5,3,5,3,3,6,4,37,3,4,5,4,4,4,3,3,4,34,71,1342631
R4,4,4,3,3,5,3,3,5,4,34,3,3,4,4,4,3,3,4,4,32,66,1342631
R1,4,4,4,3,6,4,3,5,4,37,4,4,4,4,5,4,2,3,3,33,70,1343222
R2,4,4,4,3,4,2,3,4,3,31,3,3,5,5,5,4,4,4,4,37,68,1343222
R3,4,4,4,3,5,4,2,4,4,34,3,4,5,4,5,3,3,4,4,35,69,1343222
R4,4,3,4,3,5,4,3,5,4,35,2,5,4,4,6,5,3,3,3,35,70,1343222
R1,4,4,4,4,6,4,4,4,4,38,4,3,4,4,5,3,3,4,4,34,72,1344911
R2,4,4,5,3,5,4,1,5,6,37,4,4,3,4,5,5,2,4,6,37,74,1344911
R3,4,4,4,4,5,2,3,5,5,36,2,6,3,4,4,4,3,4,4,34,70,1344911
R4,4,4,4,3,5,4,3,4,3,34,3,4,4,4,5,4,3,4,4,35,69,1344911
R1,4,4,3,4,5,4,3,5,5,37,3,4,4,4,6,3,4,5,4,37,74,1345208
R2,4,4,4,2,4,3,3,5,4,33,3,4,3,4,5,3,2,3,4,31,64,1345208
R3,4,4,4,3,4,2,3,5,4,33,2,6,4,4,5,4,3,3,4,35,68,1345208
R4,4,4,4,2,5,4,3,4,3,33,3,4,4,4,4,3,3,5,4,34,67,1345208
R1,4,4,5,4,4,3,2,5,4,35,3,6,3,4,5,4,3,4,4,36,71,1345280
R2,4,4,4,4,4,3,2,3,5,33,3,4,4,3,4,5,3,4,3,33,66,1345280
R3,4,4,4,3,5,2,3,4,4,33,3,5,4,4,5,4,3,4,4,36,69,1345280
R4,4,4,4,3,5,4,3,4,4,35,3,5,4,3,4,5,3,3,3,33,68,1345280
R1,3,4,4,4,5,4,4,4,4,36,3,4,5,3,4,4,2,3,4,32,68,1346222
R2,4,3,4,2,5,4,3,4,4,33,3,5,3,3,6,4,3,3,4,34,67,1346222
R3,3,4,5,3,5,4,3,6,4,37,3,4,4,4,5,4,3,3,4,34,71,1346222
R4,4,4,4,3,4,4,3,4,4,34,2,4,4,4,4,4,3,4,5,34,68,1346222
R1,3,4,4,3,4,4,3,5,4,34,3,4,5,4,4,4,3,4,4,35,69,1346224
R2,4,4,4,3,5,4,3,4,4,35,3,4,4,4,4,4,3,4,4,34,69,1346224
R3,4,4,5,3,4,3,3,5,4,35,3,4,4,4,4,4,2,4,4,33,68,1346224
R4,4,4,4,2,4,4,3,4,3,32,3,6,4,3,5,5,3,3,4,36,68,1346224
R1,4,3,4,3,4,3,3,5,4,33,3,4,4,4,5,4,3,4,5,36,69,1346225
R2,4,4,3,3,5,3,3,5,5,35,3,4,4,4,5,3,3,4,5,35,70,1346225
R3,3,4,4,3,4,4,3,5,4,34,3,5,4,4,6,4,3,4,4,37,71,1346225
R4,4,4,4,3,5,4,3,4,4,35,3,4,4,4,4,4,4,3,4,34,69,1346225
R1,4,4,4,3,5,3,3,6,4,36,3,3,4,4,5,4,3,4,4,34,70,1346226
R2,5,3,4,3,5,3,3,4,4,34,3,4,4,4,4,4,3,4,4,34,68,1346226
R3,4,5,4,3,5,3,4,4,6,38,3,4,4,3,4,4,3,3,4,32,70,1346226
R4,3,4,4,2,4,4,3,4,5,33,2,4,4,4,4,4,4,4,4,34,67,1346226
R1,5,5,5,4,4,3,4,6,6,42,4,4,5,4,5,5,4,3,5,39,81,1346285
R2,4,4,4,3,5,4,3,5,5,37,4,5,4,4,5,3,3,3,5,36,73,1346285
R3,6,4,4,4,5,3,3,4,4,37,3,5,5,5,6,4,7,3,6,44,81,1346285
R4,4,4,4,3,5,4,3,6,5,38,2,4,5,4,4,4,3,4,6,36,74,1346285
R1,5,3,4,3,4,3,3,5,5,35,3,4,5,4,5,5,4,4,4,38,73,1351271
R2,4,4,4,3,5,3,4,4,3,34,4,4,4,3,5,3,3,4,4,34,68,1351271
R3,5,5,5,3,6,3,3,5,4,39,3,3,4,3,5,4,4,3,4,33,72,1351271
R4,4,4,4,2,5,4,3,4,4,34,3,4,4,4,4,4,4,4,4,35,69,1351271
R1,4,4,4,4,5,4,3,4,4,36,3,4,4,4,4,4,3,4,4,34,70,1351272
R2,4,4,4,3,5,3,4,4,3,34,3,4,4,5,5,4,3,4,4,36,70,1351272
R3,3,4,4,3,4,4,3,5,4,34,3,4,4,4,4,4,3,4,5,35,69,1351272
R4,3,3,5,4,4,4,3,4,4,34,3,4,4,5,6,5,3,3,4,37,71,1351272
R1,3,4,5,4,5,4,3,4,3,35,3,3,3,4,5,4,4,3,4,33,68,1352702
R2,6,3,5,3,5,4,4,3,5,38,2,6,3,4,4,4,3,4,5,35,73,1352702
R3,5,4,4,3,4,2,2,5,4,33,3,5,4,4,5,3,3,5,5,37,70,1352702
R4,4,4,5,3,5,4,3,4,4,36,3,5,3,4,4,4,3,3,4,33,69,1352702
R1,4,3,4,3,5,4,2,4,4,33,4,4,4,3,5,4,3,5,4,36,69,1352705
R2,4,4,5,3,5,4,4,5,4,38,3,5,4,4,5,4,4,4,5,38,76,1352705
R3,4,4,5,3,5,3,3,6,4,37,3,4,4,4,5,4,3,4,5,36,73,1352705
R4,4,4,6,2,5,4,3,5,4,37,3,4,4,4,4,4,3,4,5,35,72,1352705
R1,5,3,4,3,5,5,3,4,5,37,3,5,4,4,4,4,3,6,6,39,76,1361296
